dates,timestamps,value,anomaly,dates
04-09-1985,4.9464E+11,0,FALSE,04-09-1985
05-09-1985,4.94726E+11,-0.32221466,FALSE,05-09-1985
06-09-1985,4.94813E+11,-0.6883952,FALSE,06-09-1985
07-09-1985,4.94899E+11,-1.392709,FALSE,07-09-1985
08-09-1985,4.94986E+11,-0.9061379,FALSE,08-09-1985
09-09-1985,4.95072E+11,0.25618944,FALSE,09-09-1985
10-09-1985,4.95158E+11,-0.41175944,FALSE,10-09-1985
11-09-1985,4.95245E+11,-2.5052812,FALSE,11-09-1985
12-09-1985,4.95331E+11,-3.2610288,FALSE,12-09-1985
13-09-1985,4.95418E+11,-3.2510097,FALSE,13-09-1985
14-09-1985,4.95504E+11,-3.363148,FALSE,14-09-1985
15-09-1985,4.9559E+11,-3.5389814,FALSE,15-09-1985
16-09-1985,4.95677E+11,-2.7193458,FALSE,16-09-1985
17-09-1985,4.95763E+11,-3.3782032,FALSE,17-09-1985
18-09-1985,4.9585E+11,-3.7854862,FALSE,18-09-1985
19-09-1985,4.95936E+11,-2.9575987,FALSE,19-09-1985
20-09-1985,4.96022E+11,-1.9800823,FALSE,20-09-1985
21-09-1985,4.96109E+11,-2.5508099,FALSE,21-09-1985
22-09-1985,4.96195E+11,-1.7042035,FALSE,22-09-1985
23-09-1985,4.96282E+11,-0.73564744,FALSE,23-09-1985
24-09-1985,4.96368E+11,0.83070093,FALSE,24-09-1985
25-09-1985,4.96454E+11,1.9063007,FALSE,25-09-1985
26-09-1985,4.96541E+11,1.9899565,FALSE,26-09-1985
27-09-1985,4.96627E+11,3.0250657,FALSE,27-09-1985
28-09-1985,4.96714E+11,2.9402301,FALSE,28-09-1985
29-09-1985,4.968E+11,2.48347,FALSE,29-09-1985
30-09-1985,4.96886E+11,1.2333132,FALSE,30-09-1985
01-10-1985,4.96973E+11,1.8859518,FALSE,01-10-1985
02-10-1985,4.97059E+11,1.2463082,FALSE,02-10-1985
03-10-1985,4.97146E+11,1.5673316,FALSE,03-10-1985
04-10-1985,4.97232E+11,1.776408,FALSE,04-10-1985
05-10-1985,4.97318E+11,0.5277606,FALSE,05-10-1985
06-10-1985,4.97405E+11,0.32866308,FALSE,06-10-1985
07-10-1985,4.97491E+11,3.708984,FALSE,07-10-1985
08-10-1985,4.97578E+11,3.6828756,FALSE,08-10-1985
09-10-1985,4.97664E+11,3.461709,FALSE,09-10-1985
10-10-1985,4.9775E+11,5.388289,FALSE,10-10-1985
11-10-1985,4.97837E+11,6.110128,FALSE,11-10-1985
12-10-1985,4.97923E+11,5.7482243,FALSE,12-10-1985
13-10-1985,4.9801E+11,4.8467436,FALSE,13-10-1985
